Username,Text
D_SiR_BuLLy,"RT @theadtan: Instead of calling  my posts ""kasinungalingan"", Mr Carranza @RCarranza_ should help expose these things that happened at PCGG…"
Omegafella,"Hey Bully Droga(@AxelDroga), thank you for following me"
Muvamw,RT @WonderboyIyke: Wizkid is a bully. 😂 😂 Chris Brown has to bring his vocals and screams. I love it. The Saxophone is everything. Afrobeat…
chandimples121,"@linosfalsettos ooh the aftercare! Okay, i accept your bully-love, babe~ https://t.co/nHl7ivJ7SI"
Ifeagbeja,"@Mosopemi @lakunle70 Please don't.

The bully from both of you will be too much."
AdebayoTeefrosh,"RT @daizongkaichan1: 彩票  'Hold your tongue this instant, or I'll have you 
棋牌  How dare you bully a magistrate!'
幸运飞艇 said Mr. Fang. 'You'r…"
guido_asilo,"@jmvasquez1974 we cannot allow the world to be submissive for fear of a bully Nazi-fascist, The world and governmen… https://t.co/fxxuSzacup"
RandoManga,The Earl is sparkling. What a bully - lau
HappyGeoffrey,It’s come to something when the PM of this once great country is afraid to go out in public because people might bo… https://t.co/4TYmSXxhxt
JayneMGale,RT @zaborona_media: «A bully who won't stop until he gets his ass kicked». A part of an interview with the head of Luhansk oblast Serhiy Ha…
DaEastCoastBuLy,Shock X Quilly X L. Black Da EastCoast Bully - Lets Ball (Animated Music Video) https://t.co/CfD1QXgUtP https://t.co/On6Er93bKZ #BSDJZ
davidkelly1966,"What's on Priti Nasty Patels playlist?
Return to Sender..Elvis
Cold as Ice..Foreigner
Hey, Bully..Morgan Frazier
An… https://t.co/ZW9JfiQV11"
TheRealMmase,"RT @PeruMorkels: Guys jokes aside, bad matric results don’t mean Jack. Maybe at the time, they had struggles… People are millionaires regar…"
1980sRewind,"RT @lindamagTV: More of my old @hill_grange pics have popped up this morning! My character Susi, was naive &amp; hard working but feisty. She w…"
BravinOnditi,"RT @YussufMwinyi: In school, there were people who would disrupt class, bully others, steal pocket money then blame us for their mess 

The…"
__emroe,I don't get how you could bully someone so much to make them end their life.. like wtf is wrong with you. you need… https://t.co/nG8a73zqgt
